"url","user_sid","Year","MakeModel1","MakeModel2","Trim","BodyStyle","StockNumber","Vin","Kilometers","Price","MSRP","SpecialPrice","WholesalePrice","PurchasedFrom","Transmission","ExteriorColor","InteriorColor","SellerComments","VehicleOptions","pictures","Engine","DriveType","Doors","Passengers","FuelType","EngineSize","Height","Length","CityFuelEconomy","HwyFuelEconomy","Sold","WebsiteFeaturedAd","Condition","vMake","vModel","Address","City","Location","Postcode","SellerType","first_activation_date"
"https://apnamotors.com/cars/used/2016-ram-1500-38792","","2016","","1500","4WD Crew Cab 140.5"" SLT","","307249","1C6RR7LM1G6307249","130049","28999","","","","","","Blue","Black","","","https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-6807005742023906.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-14634209765290063.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-7636118789044313.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-6082104823417254.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-935823645597504.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-024102030526323093.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-30279675128617534.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-6013591395918361.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-44812073274302744.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-14647040432787395.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-7604933422991185.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Ram-1500-8634740515702748.jpg","6 Cylinder","4X4","4","","Diesel","3.0 L L","","","12.1 L/100KM","8.8 L/100KM","","","Used","","","","","","","Dealer",""
"https://apnamotors.com/cars/used/2018-land%20rover-range%20rover%20sport-9450","","2018","","Range Rover Sport","Td6 Diesel HSE","","198758","SALWR2RK9JA198758","104000","62999","","","","","","White","Black","","","https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-956543559628201.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-327741374773868.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-32764314677513484.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-9184489292024496.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-3317182421556917.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-7149689384016924.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-512450872047806.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-1880699936929291.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-634933278923203.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-9005902543962889.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-1485677362825948.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-8998541153882698.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-9769559846938072.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-3607269824088619.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-6841817188713366.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-LandRover-RangeRover-046627840451583635.jpg","6 Cylinder","4X4","4","","Diesel","3.0 L L","","","10.7 L/100KM","8.3 L/100KM","","","Used","","","","","","","Dealer",""
"https://apnamotors.com/cars/used/2016-dodge-grand%20caravan-38687","","2016","","Grand Caravan","4dr Wgn Crew Plus","","373775","2C4RDGDG9GR373775","138000","18999","","","","","","Gray","Black","","","https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-20983342904700786.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-9451522889135435.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-348977097733256.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-6481425298981411.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-16997673574083194.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-375941501287407.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-7633907101586033.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-1362577447978348.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-35630580537497947.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-2856426466183737.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-09506917488629085.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-7115526084707191.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-6606580053313476.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-1848419854897989.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-07104394884238263.jpg","6 Cylinder","FWD","4","","Gasoline","3.6 L L","","","13.7 L/100KM","9.4 L/100KM","","","Used","","","","","","","Dealer",""
"https://apnamotors.com/cars/used/2019-dodge-grand%20caravan-37667","","2019","","Grand Caravan","Canada Value Package 2WD","","719846","2C4RDGBG1KR719846","159750","18999","","","","","","White","Black","","","https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-48526217532127136.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-8141615877756008.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-16545860570484683.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-572817665039447.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-37515789522775167.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-15815790718520883.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-8012135025969367.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-2894661698006926.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-1036197848471736.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-07030527787413243.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-40859044740117234.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-8561679880568465.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-03206798224974183.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-47027619717872615.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-38237334273794543.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2019-Dodge-GrandCaravan-5204339759871028.jpg","6 Cylinder","FWD","4","","Gasoline","3.6 L L","","","13.7 L/100KM","9.4 L/100KM","","","Used","","","","","","","Dealer",""
"https://apnamotors.com/cars/used/2016-dodge-grand%20caravan-36404","","2016","","Grand Caravan","4dr Wgn Canada Value Package","","264506","2C4RDGBG3GR264506","94207","18999","","","","","","Gold","Black","","","https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-25927161132405074.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-3827565516356297.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-789400029992928.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-000599286885485828.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-633101515251923.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-5507332265694529.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-255512264068279.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-9214185457390054.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-5721484195785496.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-8723782669464863.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-5094367744559944.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-7349516970867311.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-6703585777788967.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-23406448044073858.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-2643209488371019.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2016-Dodge-GrandCaravan-4137430536953546.jpg","6 Cylinder","FWD","4","","Gasoline","3.6 L L","","","13.7 L/100KM","9.4 L/100KM","","","Used","","","","","","","Dealer",""
"https://apnamotors.com/cars/used/2021-toyota-camry-15520","","2021","","Camry","Hybrid LE Auto","","031279","4T1C31AK7MU031279","28000","39999","","","","","","Black","Black","","","https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-06343533772396182.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-5032758791517258.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-06504219784471243.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-18353041938776737.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-6969512161853704.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-9733656225137888.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-6128036432571189.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-39416110569665785.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-6930445774563594.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-8227168354516752.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-48039890502253524.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-8249747135398655.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-41826197637696483.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-8241880437692377.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-8622334475326408.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2021-Toyota-Camry-5000451269839765.jpg","Electric","FWD","4","","Hybrid","Electric L","","","4.9 L/100KM","4.8 L/100KM","","","Used","","","","","","","Dealer",""
"https://apnamotors.com/cars/used/2017-ram-2500-37526","","2017","","2500","4WD Crew Cab CUMMINS DIESEL","","509134","3C6UR5DL1HG509134","132000","52999","","","","","","White","Gray","","","https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-9834060523359938.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-24824539898310571.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-7646003998557183.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-790011550328166.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-6951732302335634.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-9704948085028051.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-9988127603257047.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-2866112359901163.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-5050485393293014.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-567658585161442.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-7166198079587767.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-6721999096683917.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-3486246179642567.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-1710600698730833.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-9535120161827226.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-8184663124059701.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2017-Ram-2500-5753880472033637.jpg","6 Cylinder","4X4","4","","Diesel","6.7 L L","","","L/100KM","L/100KM","","","Used","","","","","","","Dealer",""
"https://apnamotors.com/cars/used/2015-chevrolet-silverado%201500-11006","","2015","","Silverado 1500","4WD Crew Cab Z71","","341721","3GCUKREH3FG341721","149750","28999","","","","","","White","Black","","","https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-09978772140809089.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-5976294166900029.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-927505424255654.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-6482122915327031.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-7755691474491473.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-9189503827272612.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-417216334035859.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-3983465304857854.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-1329099150368378.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-8713329550589983.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-20412132576344022.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-4880127420782694.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-8559641333113164.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-9598341372219712.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2015-Chevrolet-Silverado1500-8343319695405151.jpg","8","4X4","4","","Flex Capability","5.3 L L","","","14.1 L/100KM","10.6 L/100KM","","","Used","","","","","","","Dealer",""
"https://apnamotors.com/cars/used/2018-honda-odyssey-25284","","2018","","Odyssey","Touring Auto","","500579","5FNRL6H86JB500579","117000","35899","","","","","","White","Black","","","https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-2333804978610401.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-8307376587452109.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-4296660685324152.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-1591092031981527.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-48833915602741085.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-9126837997263972.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-40868451723885935.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-13489425644055197.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-17889795336919811.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-9507718612831386.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-11259457584510502.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-4095638428960746.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-26457383841799476.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-3304602157628018.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Honda-Odyssey-40172404505391546.jpg","6 Cylinder","FWD","4","","Gasoline","3.5 L L","","","12.2 L/100KM","8.5 L/100KM","","","Used","","","","","","","Dealer",""
"https://apnamotors.com/cars/used/2018-mercedesbenz-cclass-4432","","2018","","C-Class","AMG C 43 4MATIC Cabriolet","","583231","WDDWK6EB1JF626064","27705","59999","","","","","","Black","Beige","","","https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-3-33178653770851585.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-4-09816738124014668.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-5-4233300842205634.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-6-1442222975126206.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-7-19388240254009936.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-8-6131838009170132.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-9-4172866081512927.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-10-4465784451319521.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-11-31064633607312286.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-12-29288130587913264.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-13-30492285427259325.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-14-08388543946181093.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-28-8793196468701272.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-1-5019682451195475.jpg;https://hillzimage.blob.core.windows.net/apnamotorsltd/2018-Mercedes-Benz-C-Class-2-8757971222522491.jpg","6 Cylinder","AWD","4","","Gasoline","3.0 L L","","","12.3 L/100KM","9.4 L/100KM","","","Used","","","","","","","Dealer",""
